,27.02,28.02,29.02,1.03,2.03,3.03,4.03,5.03,6.03,7.03,8.03,9.03,10.03,11.03,12.03,13.03,14.03
According to wikipedia,1,1,1,1,2,2,3,5,1,10,10,10,13,17,27,79,
Total (cumulative),1,1,1,1,1,2,2,5,10,10,10,10,13,17,41,79,
Total per day,1,0,0,0,0,1,0,3,5,0,0,0,3,4,24,38,
Tallinn/Harjumaa,,,,,,,,,1,,,,,1,,21,
Tartu,,,,,,,,,,,,,,,1,4,
Võru,,,,,,,,,,,,,,,,,
Saaremaa,,,,,,,,,,,,,,2,,16,
Pärnu,,,,,,,,,,,,,,,,,
Jõhvi,,,,,,,,,,,,,,,,2,
Unknown location,1,1,1,1,1,2,,5,9,10,10,10,13,14,40,36,
Imported,,,,,,,,,,,,,12,,,,
Tests conducted,,,9,4,12,21,,,,,,,,,,,
